Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
694b076abd25c380622cac8170624440,,User,25,44,69,7,0.267615,0.301379,0,1,2346,red,-398.628937,-90.035049,10,"#000000"
6bbf9f2c8840191febdb74402ee82f10,,User,26,43,69,7,0.267615,0.301379,0,1,2346,red,-70.942924,-390.675873,10,"#000000"
6e2a415af302c3269ec7535ada666062,,User,27,42,69,7,0.267615,0.301379,0,1,2346,red,287.141327,47.095688,10,"#000000"
71723ee1fb8a09176e2b41055b7c65c5,,User,28,41,69,7,0.267615,0.301379,0,1,2346,red,311.777069,96.035507,10,"#000000"
730a73270b8a9a37fa02c102680745ee,,User,29,40,69,7,0.267615,0.301379,0,1,2346,red,196.253632,123.499252,10,"#000000"
784457932761e9b51fcd8f941031bc4f,,User,30,39,69,7,0.267615,0.301379,0,1,2346,red,-491.999847,-156.632034,10,"#000000"
7d17d2b097164672f1162dbd82ff5941,,User,31,38,69,7,0.267615,0.301379,0,1,2346,red,-34.622463,97.641769,10,"#000000"
7e289b4417756b69f25e4c4636a3e1f6,,User,32,37,69,7,0.267615,0.301379,0,1,2346,red,-373.794647,505.117676,10,"#000000"
7ec12f32c168a3bfeac0c91ae6d6ae06,,User,33,36,69,7,0.267615,0.301379,0,1,2346,red,197.420074,19.091112,10,"#000000"
81c3505fd6600c1b05b9b557b2837c22,,User,34,35,69,7,0.267615,0.301379,0,1,2346,red,-261.563324,297.935608,10,"#000000"
822c1b363fc2f89412e3f8d7e711d2d6,,User,35,34,69,7,0.267615,0.301379,0,1,2346,red,25.661963,139.246933,10,"#000000"
8808cc46deda5defa09bb9ca3354486a,,User,36,33,69,7,0.267615,0.301379,0,1,2346,red,163.788727,178.167526,10,"#000000"
887acf6249dca9622252ca0e58748ae7,,User,37,32,69,7,0.267615,0.301379,0,1,2346,red,-421.790833,362.304626,10,"#000000"
8e8a5e546ae76877fff8e7a2f9fc6490,,User,38,31,69,7,0.267615,0.301379,0,1,2346,red,474.977142,38.75145,10,"#000000"
96bd10bf0d01865f233a878d34d1edf5,,User,39,30,69,7,0.267615,0.301379,0,1,2346,red,-101.301323,-386.855988,10,"#000000"
974ad27524e6441f443e87464ba74898,,User,40,29,69,7,0.267615,0.301379,0,1,2346,red,108.638405,-152.896164,10,"#000000"
9808e79847da4abce06182d146398f89,,User,41,28,69,7,0.267615,0.301379,0,1,2346,red,-401.076874,-229.878128,10,"#000000"
9a846d7c001574d3f565c14f9ff552fc,,User,42,27,69,7,0.267615,0.301379,0,1,2346,red,445.358246,-393.164886,10,"#000000"
a90b74535c016c637264956425389882,,User,43,26,69,7,0.267615,0.301379,0,1,2346,red,20.016943,-86.712326,10,"#000000"
acb19324858bbfa251a3938690aa24d1,,User,44,25,69,7,0.267615,0.301379,0,1,2346,red,492.025543,-480.695892,10,"#000000"
b24a23ef705531ca4a13eee3df8b8d32,,User,46,23,69,7,0.267615,0.301379,0,1,2346,red,-38.928036,-227.669724,10,"#000000"
