Id,Label,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,stat_inf_class,componentnumber,X,Y,Size,Color
5a8e42e8c7ab8b3ea1bb06b51f01efff,,66,138,204,6,0.419473,0.505049,0,1,20706,119,1,-453.659424,-234.807281,10,"#000000"
5aa25c6e0d3fc99e437fa11d7befae8d,,67,137,204,6,0.419473,0.505049,0,1,20706,98,1,431.104004,19.524117,10,"#000000"
5bf155427947180284f38a1aa4021bb9,,68,136,204,6,0.419473,0.505049,0,1,20706,61,1,-295.449097,-446.125916,10,"#000000"
5df2534f5bcc7ede23b50a10e0915aa8,,70,206,276,6,0.441366,0.54073,50771.295671,0.588906,22349,302,1,96.561699,395.85083,10,"#000000"
5ecfdf0deb839506d44a8ad9781fb705,,70,228,298,6,0.433407,0.540693,8813.244199,0.585926,25929,151,1,399.059875,406.096802,10,"#000000"
61f14fd7b739db943eeab2955888f65f,,71,133,204,6,0.419473,0.505049,0,1,20706,50,1,-314.50116,-63.777214,10,"#000000"
634d13ad4af1450eac2467c859f92a2a,,72,132,204,6,0.419473,0.505049,0,1,20706,59,1,-210.636948,-148.083679,10,"#000000"
636d779b3346efeaf0afa0818981f356,,74,176,250,6,0.430412,0.525973,6871.909116,0.706667,21995,342,1,-183.731613,-307.185486,10,"#000000"
638424bbc1892c4d1cf0e9b7801888c2,,74,130,204,6,0.419473,0.505049,0,1,20706,73,1,475.726624,330.730042,10,"#000000"
64e88a3b161f19be4e873f0f6906892e,,75,129,204,6,0.419473,0.505049,0,1,20706,76,1,369.044983,321.533997,10,"#000000"
65eae4011ecdc842d64253329a1b1e4c,,76,128,204,6,0.419473,0.505049,0,1,20706,92,1,216.393051,232.214966,10,"#000000"
67ac51d2a41bdefc9c2c7f9555460559,,77,127,204,6,0.419473,0.505049,0,1,20706,70,1,-228.362015,462.765686,10,"#000000"
6862b6ee326a7fe62cf3b3ba0c2a20bb,,78,126,204,6,0.419473,0.505049,0,1,20706,80,1,-203.40242,-487.36319,10,"#000000"
69cf3f1ce21174363583d7b6304de3a9,,79,125,204,6,0.419473,0.505049,0,1,20706,107,1,-349.001221,-305.794403,10,"#000000"
6a39864b32501672ec5bea38f5491cf5,,80,124,204,6,0.419473,0.505049,0,1,20706,91,1,-479.626984,42.323067,10,"#000000"
6bf4f423a2f1d2f184285679fb6cefbe,,81,123,204,6,0.419473,0.505049,0,1,20706,109,1,36.72979,-428.557709,10,"#000000"
6c0e144c41a8b3c686b058f6e39d4993,,82,122,204,6,0.419473,0.505049,0,1,20706,101,1,-452.902496,192.631714,10,"#000000"
6c4431cb71a21ca3aa1cb979a570eeb9,,83,121,204,6,0.419473,0.505049,0,1,20706,102,1,-180.491043,15.104438,10,"#000000"
6d24b3150b30edc0f2b860c4fcf34f48,,84,120,204,6,0.419473,0.505049,0,1,20706,94,1,-173.034164,-445.464905,10,"#000000"
